"","City","label","prop.change.population.under.18","prop.change.population.young.adult","prop.change.population.middle.aged","prop.change.population.older.adulthood","prop.change.population.race.White","prop.change.population.race.Black","prop.change.population.race.Native","prop.change.population.race.Islander","prop.change.population.race.Other","prop.change.population.race.Latino","prop.change.households.Nonfamily","prop.change.housing.Owner.Occupied","prop.change.population.Owner.Occupied","prop.change.population.Renter.Occupied","prop.change.housing.householder.race.White","prop.change.housing.householder.race.Black","prop.change.housing.householder.race.Native","prop.change.housing.householder.race.Islander","prop.change.housing.householder.race.Other","prop.change.housing.owner.occupied.householder.race.White","prop.change.housing.owner.occupied.householder.race.Black","prop.change.housing.owner.occupied.householder.race.Native","prop.change.housing.owner.occupied.householder.race.Islander","prop.change.housing.owner.occupied.householder.race.Other","prop.change.housing.renter.occupied.householder.race.White","prop.change.housing.renter.occupied.householder.race.Black","prop.change.housing.renter.occupied.householder.race.Native","prop.change.housing.renter.occupied.householder.race.Islander","prop.change.housing.renter.occupied.householder.race.Other","prop.change.household.size.renter.occupied","prop.change.household.size.owner.occupied","prop.change.household.size"
"107500.1","Minneapolis","gentrified",0.0284512047826351,-0.117733986147988,0.214966631107047,-0.183100598081665,-0.0829720288835016,1.21857191842333,-0.3308568598316,1.88022482072485,Inf,0.324124520756517,0.0649651972157773,0.0412316652286453,0.0581424609170137,-0.11920875248359,-0.0479876160990712,0.660855263157895,0.0736842105263157,0.677631578947368,0.43796992481203,-0.0151648096501861,0.104822277563958,-1,0.933438985736926,-0.0332805071315373,-0.130960854092527,1.10785655625513,0.948596283115856,0.370106761565836,1.74021352313167,-0.0810597073942269,-0.0312467354074099,-0.0451988276495865
"107600.1","Minneapolis","eligible",-0.0464733178654293,-0.212868208163877,0.344012461744433,-0.146587549006393,-0.0367743249247174,0.738954435503776,-0.210461393873535,-0.0695925336948304,-0.462296983758701,1.43886725223732,0.194502535682543,0.0343124744793793,0.0513163620792772,-0.190355228418273,-0.0185265911072362,0.169066820276498,-0.166774193548387,-0.00806451612903236,1.47983870967742,-0.0205662996803669,0.830873223892951,0.220582149261967,-0.0942505479683022,3.31562974203338,-0.0227718205926439,-0.195678271308523,-0.430272108843537,0.36734693877551,0.709183673469388,-0.139661628340097,-0.065051236186347,-0.074085758603465
"108600.1","Minneapolis","eligible",0.0906609557403207,-0.0612494615466254,0.177637066731455,-0.309456455849667,-0.415250149413117,0.70427687162381,-0.429926759976021,1.13004309620171,1.80455674333225,5.98679048338912,-0.0524278703717771,0.133691762100132,0.166786085967206,-0.140110390548516,-0.262557406247249,0.959468643805993,-0.306829883637113,1.64819277108434,6.8936515291937,-0.215782599661611,1.88441330998249,0.347635726795096,2.59369527145359,7.08581436077058,-0.356415554438674,0.891274491851309,-0.404002624671916,1.19173228346457,6.91001124859393,0.114154023429998,0.129588904385471,0.122952551537357
"108700.1","Minneapolis","eligible",0.0647355833111879,-0.0611876828422355,0.216777421284464,-0.228577093056875,-0.292978321737655,2.12184063283812,0.0532932891466445,0.838475559237779,2.64630985915493,5.50515373933743,-0.00879596937803329,0.0842288787015504,-0.0145664508377278,-0.048904464522987,-0.193466977075201,1.87508808112056,0.496402540486067,0.580201082753287,13.1559680329982,-0.135811428264258,2.14675052410901,1.48427672955975,0.236223420185684,7.50174703004892,-0.379791456109646,1.8780300115429,0.0941271118262268,5.01769911504425,22.2684365781711,0.29305931397645,0.0216283315514622,0.0943146678735089
"108800.1","Minneapolis","eligible",0.00421751403385713,-0.0801886209425159,0.218676239181747,-0.146596662002471,-0.234550461340391,1.26871158395609,-0.230815785920791,0.0184568760493228,0.148920360171344,4.59219399797685,0.0520938567729102,0.0279115532248473,-0.0142408845032356,0.0572085566856953,-0.156266820089859,1.10208985042454,-0.262464183381089,0.698567335243553,3.98246418338109,-0.0641469584223581,0.447946141086935,-0.123044524669073,0.230015471892728,3.30505415162455,-0.24975351331309,1.47716083150985,-0.290058683111199,0.948140043763676,4.31310921026457,0.0761818783306032,-0.0475795134388157,0.0109875898197631
"108900.1","Minneapolis","eligible",-0.0469833298458534,-0.237517058276915,0.344191157482954,-0.0991450262523059,-0.0657085157348454,0.55599451303155,-0.121437757201646,0.856584362139918,9.60905349794239,1.14487385936661,0.249081564671172,0.0604788464961728,0.0691708818503808,-0.381138545953361,-0.0330666377673808,0.1570994794679,-0.155520379897111,1.63240131578947,0.504229323308271,-0.0398400600845822,0.477545309168444,-0.189460858970454,1.43161742308864,1.60047974413646,-0.0089285714285714,-0.285714285714286,0.142857142857143,3.28571428571429,-0.642857142857143,-0.161807580174927,-0.0478613945287006,-0.0545178582395311
"109300.1","Minneapolis","eligible",-0.0982230069373182,0.00354483823128834,0.155120023670583,-0.156875296348981,-0.09483764253998,-0.0863096663743963,-0.55013394218892,-0.012999576757966,0.397529108055424,4.09808695335011,0.0260928486567799,0.105187869125693,0.137572516135955,-0.0904554370399835,-0.0197913520295546,-0.311816814307204,-0.613967109709394,0.305699481865285,3.99841105354059,-0.0593008739076155,0.0143570536828963,0.275191724629927,0.160424469413234,2.79369538077403,0.00112297390714217,-0.365015891210337,-0.783970384501828,0.404192500738116,4.64868346887833,-0.0242520614949704,0.0330890421555188,0.0122896245488389
"109400.1","Minneapolis","eligible",0.064677437080998,0.0825341281057751,0.027064360994577,-0.399889157016015,-0.430140191856326,-0.138339629603092,-0.424816600725354,-0.32436744200887,2.80811078140455,6.30361545388783,-0.121868455237136,0.08717923847744,0.13217055054946,-0.0715373466129995,-0.0777476551057928,-0.151954544794576,-0.0505409333118037,-0.283836589698046,14.1438721136767,-0.173836065573771,-0.154832930215892,-0.359562841530055,2.04207650273224,19.1737704918033,0.0467845834698111,-0.148656049882036,0.143410852713178,-0.802860197808073,13.1020671834625,0.0923864333223264,0.103803507700529,0.0919551184854654
"109700.1","Minneapolis","gentrified",0.0693562814225346,-0.0376858032932799,0.145623466490227,-0.264308483662972,-0.289985919294943,0.825452178360534,-0.059190031152648,0.827342439491972,0.254413291796469,7.69011313330054,0.0872520726641867,0.0498776363982109,0.0342490180657016,-0.0651070749818766,-0.145471208793703,0.759030704394943,-0.124464355278535,0.587637969094923,3.46523178807947,-0.112380405320505,1.77238938053097,0.260176991150443,0.512212389380531,0.890265486725664,-0.222565210680661,0.53211431200046,-0.318848307118102,0.712609970674487,9.16862170087976,0.0609088313912752,0.0154615276069909,0.0351090767432801
"110000.1","Minneapolis","eligible",-0.000962372634898988,-0.0598351741445551,0.248640248640249,-0.236680300831244,-0.273081813291604,-0.0901673133226333,-0.565270319622351,-0.329768667927325,-0.416220143492871,12.0377501286592,0.0535045478865704,0.0507556315939548,0.104076925927721,-0.129841423674863,-0.0228091236494598,-0.0924225731423675,-0.161904761904762,-0.262786596119929,4.65714285714286,0.00874451273046523,-0.113293108923468,-0.169154228855721,1.16019900497512,3.4865671641791,-0.164086687306502,-0.0550922761449077,-0.147368421052632,-0.675187969924812,5.82105263157895,-0.0302441983922342,0.0603893133650703,0.0170219198790627
"110100.1","Minneapolis","eligible",-0.0254668930390492,-0.0398587321713839,0.238791423001949,-0.244124224581545,-0.17366231684698,0.93351515370444,-0.340316050672587,0.509990858038396,1.33887945670628,4.03213458867109,0.0976939203354298,0.0950346118382121,0.052531209200663,-0.172155184846882,-0.0952313902187177,0.497226589797344,-0.355004101722724,0.789607666966157,13.5052410901468,-0.0745507494089725,0.580533596837945,-0.0147323032698528,0.685902503293808,17.9664031620553,-0.219017094017094,0.690598290598291,-0.669230769230769,1.20512820512821,14.2153846153846,0.099931113662457,-0.0293579551081779,0.00659883433764688
"110200.1","Minneapolis","gentrified",0.0147289313385848,-0.032268869197861,0.246284978838987,-0.246147093700412,-0.160926083843935,2.81946733256093,1.03680369807733,1.89658541785105,6.88857305287095,2.99711179241452,0.187163791504359,0.0227912883236421,0.01933265086927,-0.106257172848891,-0.0818322876610672,1.50712250712251,0.559454191033138,1.96296296296296,6.16049382716049,-0.0750047010293623,1.66972718885911,1.7589885842313,1.34514029659661,7.0470500373413,-0.141829268292683,1.39611111111111,-0.0541666666666666,Inf,3.54,0.0110263653483993,-0.0139414308147074,-0.011205200581644
"110400.1","Minneapolis","eligible",-0.0911477936327077,-0.19048960356098,0.441158806786521,-0.146705536480409,-0.131739343613839,1.42304792849107,0.211030224268256,0.295480211151089,0.0525776715602595,2.29210463232677,0.194273222477064,0.0431782294977115,0.0599999909718788,-0.167248132082547,-0.0811544342507646,1.01444466133125,0.262385321100917,0.232798165137615,3.93119266055046,-0.0403578784757981,0.561993462588994,0.223480947476828,-0.200031688188228,5.61791967044284,-0.20824501907588,1.66765578635015,0.379821958456973,2.31157270029674,2.31157270029674,-0.12588618789376,-0.0516610853834036,-0.0656856285014892
"111100.1","Minneapolis","gentrified",0.0112585344553827,-0.119600432409664,0.32437808506248,-0.227495042795738,-0.10423766270761,1.87646872022864,0.0828405413988138,0.117955279920797,9.27310257224516,2.48897823208326,0.192892056659904,0.0460713548177394,0.0155413666206873,-0.0814409231243934,-0.0391614900042788,1.05365421680471,0.072667604313174,0.202330721318063,1.22784810126582,-0.04081085672775,2.40756578947368,0.262061403508772,0.11864533492823,5.62582236842105,-0.05337676716062,0.467732724157624,0.0396440129449838,0.663430420711974,-0.168284789644013,0.0989960908106521,-0.0671010069072866,-0.0410746577111857
"122500.1","Minneapolis","eligible",-0.0562254124372984,-0.105063350238402,0.223786177308244,-0.0140629581332251,-0.0612493075802178,0.861181565109805,0.107846169708217,0.424373646767708,1.98440192656091,3.69793413319876,0.199309251665067,-0.00142656758289319,-0.00783539701980273,0.0208011135168575,-0.0342329421516447,0.583825079030559,-0.552397260273973,0.421796937953264,1.90941780821918,-0.0200983569226457,0.9423828125,0.79296875,0.0160156249999999,0.3447265625,-0.0685805020667406,0.472133027522936,-1,3.46100917431193,Inf,-0.0472558977719528,-0.0697467068385651,-0.0636792200258803
"125500.1","Minneapolis","eligible",0.0568109816921042,-0.257054093839215,0.309430927767071,-0.00925998895057803,-0.0899600940567998,1.72355985047484,4.4696373217607,0.776680336534796,1.55249741682166,0.766773832062674,0.157135682501911,0.0154619188410277,0.0122260637107772,-0.0126956638144147,-0.0552596631236454,1.27713974939088,5.1123224852071,0.985198755879229,0.146060465976331,-0.0401780234761724,0.226144186568001,3.01283551967709,1.04224664840709,0.254011099899092,-0.0981954577344454,2.58198753462604,Inf,0.833205741626794,0.0613296398891966,-0.0476851992498957,-0.0716355613195977,-0.0637278835061568
"125700.1","Minneapolis","eligible",0.322629379620701,-0.172158445129366,0.0638409548461317,-0.372548526601629,-0.616433548904597,1.18536838138308,-0.739656518345043,8.71375102926866,-0.03224043715847,0.876867030965392,-0.134683496161069,0.0410168273011165,0.110295319768738,-0.187943688604715,-0.49797439544808,1.46933200481588,-0.703543543543544,10.0244744744745,1.33459459459459,-0.47614921976908,2.18076256747276,-0.252463382157124,23.8288948069241,0.735352862849534,-0.579058855926369,0.989397070716147,-0.828093911659371,2.9108635097493,3.8133704735376,0.0855078812725755,0.28392394044084,0.209610118162193
"125800.1","Minneapolis","eligible",-0.0389626361323994,0.0200414788390372,0.25791282667385,-0.291267479015233,-0.398820311499598,0.567435612290333,-0.599641512307161,0.0946988756605076,5.61073336571151,7.52352425482174,-0.119606246761898,0.28242061494285,0.334771770159366,-0.177215964658998,-0.23581429624171,0.606995492921983,-0.613043909208048,0.361512171305015,10.3993915688831,-0.245951331780291,0.791574279379157,-0.481386392811297,0.791574279379157,10.4212860310421,-0.310816842731736,0.678668848881615,-0.599886030069508,0.27191956979191,10.5744680851064,0.132018564059912,0.192521615170009,0.145611222652825
"125900.1","Minneapolis","eligible",0.0219286645871741,0.082317602419728,0.140574154687788,-0.496979196352237,-0.533988574218459,1.31749403282786,-0.436099442711937,-0.21314677299012,1.01615625753557,5.65227715878549,-0.0450137018944358,0.186792565232932,0.283876553068187,-0.0625169810076052,-0.30956606174245,1.1293293506863,-0.324555168047626,0.0337644758610318,6.93971166448231,-0.30359637284845,3.11695906432748,-0.302773061686474,1.28609986504723,5.00389863547758,-0.379559223266474,0.922820274354801,-0.289172522888261,-0.379400623885918,7.74914924647545,0.156181159140235,0.206462704645802,0.168506124444976
