Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,1990-2000,120700,-0.06198184,0.002273597,0.236006365,-0.207227672,0.046695484,-0.149888143,-0.741610738,0.539569351,6.234899329,-0.137092559,0.139085849,0.009395089,0.081528049,0.001871356,-0.100370478,-0.031091228,-0.051706308,0.80768485,0.255094592,-0.079539252,0.384478145,-1,0.011734029,1.583535109,-0.121516245,-0.13668958,0.909747292,1.362055862,0.082190132,-0.080907806,-0.016743957,-0.059956326
Ineligible,1990-2000,130100,0.269229996,-0.280738807,0.333826369,-0.079403021,-0.042240335,0.157035518,-0.737880389,0.803277088,7.857667452,0.574486859,-0.096907481,0.131440975,0.061683086,-0.191074894,-0.034473039,-0.052672738,-1,1.023507215,-0.199300361,-0.022996075,-0.230011835,0,1.160469993,0.328607269,-0.092225515,0.353765388,-1,1.413580573,-0.295294409,0.139296443,-0.024632543,0.031482956
Ineligible,1990-2000,130200,0.117798755,-0.250333453,0.305989204,-0.070880405,-0.028312247,0.649861378,3.738963532,0.913137129,0,0.630145751,0.120476701,0.001375436,0.004880303,-0.004769431,-0.021735493,0.083313045,1.482592394,0.891498967,0.588859132,-0.026791068,3.958364875,2.9666919,1.100013359,0.487509463,-0.009345534,-0.302564103,-0.003663004,-0.003663004,0.660561661,-0.06007509,-0.052758772,-0.054367782
Ineligible,1990-2000,130300,0.108561232,-0.303375294,0.299975277,-0.046789546,-0.039669812,2.737665361,5.491734575,0.856689518,8.737601863,0.31305311,0.059083536,-4.49E-04,0.005497555,-0.018862843,-0.024807578,1.134567901,0.011111111,0.617777778,0.112222222,-0.026888451,5.575173477,0,0.707016191,0.618504241,-0.018081114,-0.134555517,0.00968523,0.262106538,-0.394188862,-0.083357436,-0.056776517,-0.061941612
Ineligible,1990-2000,130402,0.001065718,-0.277568801,0.315465934,0.049511532,-0.040271069,1.491557935,1.99162414,0.873542391,1.719658309,0.50714398,0.15221149,0.026821413,0.007024861,-0.062216028,-0.033995566,0.887120851,2.032872797,0.905266244,0.516436398,-0.02831938,1.625468165,-0.015449438,1.423509075,0.125200642,-0.047398844,0.777777778,0,0.394871795,1.488888889,-0.079052823,-0.087742566,-0.080007911
Ineligible,1990-2000,130404,0.204472371,-0.368703455,0.370146315,0.039245546,-0.083448946,0.797390989,-0.761791556,1.551656556,0,0.697577419,0.059187097,0.079287183,0.02908488,-0.132636362,-0.067981469,0.444584383,-1,1.320090069,1.006367198,-0.068581419,4.8,0,0.896153846,1.453846154,-0.071732523,0.158438375,-1,2.386204482,0.871323529,-0.026698373,-0.037864509,-0.020899329
Ineligible,1990-2000,130406,0.70851379,-0.076071972,0.243924515,-0.370974161,-0.413151657,5.053257914,3.788734167,1.931097776,11.51458022,4.081510712,-0.155644529,0.063972954,-0.083132015,0.036274192,-0.319695933,5.164987347,2.953759911,2.217163688,4.892724987,-0.114829125,0,-0.071786147,2.951100898,0,-0.390845976,5.063999812,4.606238328,1.780113174,4.649277094,0.202565346,-0.024653345,0.136235598
Eligible,1990-2000,140102,0.14640538,-0.289574424,0.369850504,-0.108592995,-0.291798034,2.508922019,-0.691245745,0.021477832,2.765655114,1.626086363,0.151966867,0.007784453,0.040719055,-0.084808128,-0.204706633,1.847554014,0.631248838,0.254981055,4.120162056,-0.202716624,1.685076177,0,0.436392566,7.195670803,-0.208403471,2.310689221,-0.006570972,-0.055163844,2.345688254,-0.098926271,0.007165286,-0.026276322
Eligible,1990-2000,140105,0.246404904,-0.261747483,0.483249109,-0.277220789,-0.410388158,5.158849092,0.401055099,0.290818955,0,3.554493213,0.022745747,7.57E-04,-0.02026869,0.055722238,-0.287407725,5.833568905,0.009520598,0.276241656,7.25523057,-0.26295329,11.93942518,0.008757314,0.836241048,10.4208563,-0.363969987,2.394566972,0.011681897,-0.378791818,5.464242648,0.12860147,0.040649441,0.061511797
Eligible,1990-2000,140106,0.05870512,-0.152308404,0.142619806,-0.036037337,-0.518101624,0.585288412,-0.274104422,0.19613862,0.710610613,0.544767258,0.031975906,0.089892308,0.109188254,-0.0086283,-0.422419055,0.597032361,-0.064156397,0.06794393,1.231853048,-0.265258953,2.244902914,0,-0.142774147,-0.406313176,-0.440293712,0.572750498,-0.058080342,0.081826692,1.361899588,0.025195544,0.050483135,0.027725923
Eligible,1990-2000,140107,0.282779099,-0.353911089,0.544078201,-0.206906509,-0.383410994,11.61574568,0.953690754,1.997294043,20.0021756,2.843693396,0.085813982,0.008651308,-6.91E-04,0.021468447,-0.263681303,9.23339354,2.886230344,1.189212898,7.620645883,-0.266083803,24.14356308,0,1.211259033,22.82764283,-0.26063923,4.643530601,0.985545272,0.985545272,5.122097923,0.034542275,-0.007657845,0.008530551
Eligible,1990-2000,140201,0.258549526,-0.199474727,0.357740544,-0.184231167,-0.217245111,6.273204629,-1,2.21374158,0,3.035861519,0.120439942,0.107240657,0.10397539,-0.079382798,-0.156910823,5.655996434,0,1.457598683,1.730665204,-0.140652265,15.64677864,0,1.312052589,2.699284143,-0.169617364,4.308764334,0,1.550288748,1.185961784,-0.00849382,0.002014746,0.011330237
Eligible,1990-2000,140202,0.185133026,-0.238772428,0.386512885,-0.175572791,-0.294508604,4.523594745,3.468916009,1.824360507,-0.311786935,3.637056834,0.035453893,0.045499259,0.042995111,-0.07179792,-0.208367409,4.63424764,3.97020854,1.527576961,1.692690546,-0.194504335,12.15165245,0,1.693881876,3.271387411,-0.239705315,2.330740837,3.282412423,1.348903214,1.449438846,0.00468768,0.004911784,0.01018486
Eligible,1990-2000,140300,0.146505779,-0.164599005,0.26280922,-0.202212569,-0.541897861,1.172743413,0.473304904,0.313517426,1.610349631,1.336049874,-0.10662108,0.097915021,0.064486723,-0.0651018,-0.411690421,1.307339311,0.432440447,0.333423826,1.893136185,-0.397012906,1.221927892,0.739588729,-0.023897436,1.252329106,-0.421875382,1.366926055,0.028976438,1.068191448,2.518315814,0.112229675,0.062031047,0.101545929
Ineligible,1990-2000,140400,0.077315517,-0.213076618,0.091241824,0.076321576,-0.572029757,0.222750957,-7.36E-04,-0.193302415,0.244619131,1.000451056,-0.031493528,-4.81E-04,-0.030644816,0.066374882,-0.488667139,0.252668094,-0.292684711,-0.112640819,2.419664827,-0.420446229,0.217514688,-0.155637982,0.157982196,1.590223333,-0.594429515,0.311307281,-0.449271415,-0.518112488,3.543510827,0.056385327,-0.037093325,-0.006784561
Ineligible,1990-2000,160101,0.01009807,-0.086185485,0.176566021,-0.08204499,-0.433120421,0.320287583,1.934889272,-0.264795415,-0.523556936,0.465487356,-0.105154855,0.011607234,-0.076092856,-0.006325645,-0.197751182,0.200845576,0.831505484,-0.106050895,0.141691737,-0.193869107,-0.121379516,0,0.206993796,0.600578729,-0.200961131,0.354652532,0.226855124,-0.21130742,0.062065457,0.130842845,0.0446441,0.106850224
Ineligible,1990-2000,160200,-0.022309263,-0.006568353,0.318208395,-0.324164357,-0.307330467,0.227811329,4.149064626,-0.272569817,-0.150034787,0.133226979,-0.069380652,0.022723292,0.218287194,-0.005316425,-0.142171235,0.160537069,0.044483363,-0.158610625,0.040162214,-0.249061327,0.70212766,0,0.70212766,0.773049645,-0.121845525,0.141781296,0.047752248,-0.294782141,0.008946609,0.06336656,0.223886353,0.08070527
Ineligible,1990-2000,160300,0.128851541,-0.34630945,0.353551292,0.216411,-0.072404372,0.232026144,-0.107843137,0.421875,0.56127451,0.272769859,0.022923416,0.326233841,0.28690374,-0.128456148,-0.033809379,-0.005393383,1.564220183,0.139653415,0.179541284,-0.052565971,7.378326996,0,0.074144487,5.44486692,-0.044404069,-0.059178744,-1,0.245204604,0.199462394,-0.02972938,-0.070351449,-0.044074427
Ineligible,1990-2000,160400,-0.004105877,-0.091596446,0.306404441,-0.151251815,-0.189769314,0.539582932,6.445666609,0.775078514,-0.230749336,0.009473934,-0.040722843,0.014448152,0.074264429,0.010198851,-0.237654481,-0.111798032,9.017569029,0.681270327,0.122261733,-0.262507723,0.410699292,0,1.393913951,1.394911415,-0.232261482,-0.161206984,9.040845807,0.587485503,0.076736341,-0.001492009,0.023663118,0.002117148
Ineligible,1990-2000,160501,0.089319334,-0.025349839,0.291838871,-0.309248632,-0.458563375,0.576998405,-0.430455948,-0.354624304,-0.121393023,1.145437323,-0.146002137,0.044737925,0.032336829,-0.013511527,-0.183631546,0.809577976,0.004907555,-0.198357837,0.454480411,-0.214700881,0.863397548,1.500875657,0.510945709,1.38178634,-0.17165825,0.807586643,-0.114403859,-0.360402787,0.304813249,0.152940308,0.125119626,0.146928322
