"","Data.Measurement.Year","Census.Tract.Code","prop.change.population.under.18","prop.change.population.young.adult","prop.change.population.middle.aged","prop.change.population.older.adulthood","prop.change.population.race.White","prop.change.population.race.Black","prop.change.population.race.Native","prop.change.population.race.Islander","prop.change.population.race.Other","prop.change.population.race.Latino","prop.change.households.Nonfamily","prop.change.housing.Owner.Occupied","prop.change.population.Owner.Occupied","prop.change.population.Renter.Occupied","prop.change.housing.householder.race.White","prop.change.housing.householder.race.Black","prop.change.housing.householder.race.Native","prop.change.housing.householder.race.Islander","prop.change.housing.householder.race.Other","prop.change.housing.owner.occupied.householder.race.White","prop.change.housing.owner.occupied.householder.race.Black","prop.change.housing.owner.occupied.householder.race.Native","prop.change.housing.owner.occupied.householder.race.Islander","prop.change.housing.owner.occupied.householder.race.Other","prop.change.housing.renter.occupied.householder.race.White","prop.change.housing.renter.occupied.householder.race.Black","prop.change.housing.renter.occupied.householder.race.Native","prop.change.housing.renter.occupied.householder.race.Islander","prop.change.housing.renter.occupied.householder.race.Other","prop.change.household.size.renter.occupied","prop.change.household.size.owner.occupied","prop.change.household.size","Gent_Label"
"208","2000-2010",100300,-0.177677790221109,-0.0332604980079104,0.0457131625541116,0.390179446522678,0.259529903944073,-0.0646384416583491,0.108386315470784,0.699525683721869,2.79184792134742,0.423912346882175,0.199057956174483,0.0467975771932324,-0.0235328692054635,0.0125379261993036,0.137871160953231,-0.0165394064256686,-0.373238180196253,2.13380909901873,1.36776687481415,0.301613344271261,-0.0139762403913348,-0.50104821802935,Inf,0.360777587192681,0.0137869376999812,-0.0199169730003804,-0.280538302277433,0.618788819875776,2.01037920889179,-0.0151005395570613,-0.104650217706821,-0.0539170866115429,"Eligible"
"209","2000-2010",100400,-0.121665504590082,-0.0901073510326255,-0.0607535234271054,0.437236783283175,-0.190494811086675,-0.0141777135192573,0.0746145940390544,0.11577004657672,0.374507038887163,0.387284942022169,0.0218571143155989,-0.0543912062708885,-0.1011381310505,0.093278297910825,-0.176515845054142,0.0410335661141161,-0.425434283841364,0.147042102440333,0.300607848395459,-0.135079206507778,0.0453899514140479,-0.270862470862471,0.51035631035631,0.0253496503496503,-0.20251368840219,0.0323309770835709,-0.504591836734694,-0.0674669867947179,0.544507803121248,0.0050147014654041,-0.0832102951505937,-0.0401653223009666,"Ineligible"
"210","2000-2010",100500,-0.146385769587129,-0.0467730164477572,0.0254285405164327,0.33868749053347,-0.0485115820636005,-0.0903821208378132,-0.165962995650757,0.0409252751703273,0.284565921877183,0.549187155008353,0.0716428068023479,-0.0192483598801554,-0.056889308639914,0.0269485274088514,0.0177798221404478,-0.01047192154867,1.02207911683533,0.126586936522539,0.326483900643974,0.0907103466386555,-0.0112518031735854,0.0308823529411764,0.247910216718266,-0.182403651115619,-0.0423286064612432,-0.0117181052979039,1.20441767068273,0.0805968973934956,0.471699297188755,-0.0601430342582451,-0.102017270484353,-0.075278197070607,"Ineligible"
"211","2000-2010",100601,-0.135587201854126,-0.164598216346228,0.17881070264761,0.256388935085093,-0.197259212284936,0.135237144916174,-0.154353601385033,0.10589180996465,0.992554326736515,0.587566985194382,0.107788696936358,0.0950263595052101,0.0576530582833711,-0.0247904925641244,-0.140259673455084,0.302658306102623,-0.15146285338593,0.192489637059773,0.287435670724795,-0.0530423773531219,0.208845738942826,0.394822006472492,0.244841145561471,0.00737144911902201,-0.258812197365452,0.388221263344459,-0.453678474114441,0.188795640326975,0.45685740236149,-0.0305791686382005,-0.100782210633282,-0.0595572004609735,"Ineligible"
"212","2000-2010",100603,0.196865692479524,0.149705115311845,0.0749260893873678,-0.272291699698747,-0.153870798319328,0.637270817417876,-0.660189075630252,0.465434611344538,Inf,1.15584963493594,0.132299794837458,0.228120881504096,0.272393758992431,-0.108432226938666,-0.117218715374543,1.8368700265252,-1,0.467346565444068,0.891246684350133,-0.0960011238833475,2.29989622967831,-1,0.959938366718028,3.61985472154964,-0.159421794306179,2.02180288155043,-1,0.0940045617464972,0.654796816087139,0.0162198337324112,-0.0372881355932204,-0.00218868693104863,"Ineligible"
"213","2000-2010",100700,0.040537223029679,-0.111697685434915,0.0941056886452538,-0.0106047564603295,-0.0403096869073618,0.310846118250098,-0.366034243405831,0.7492279651333,1.70492056146846,0.736421462129115,0.0459383626222581,0.00737988205230625,-0.00155593565920099,0.00381781825557861,-0.021048678373888,0.450287714302664,-0.321943406300053,0.390016017084891,0.849245255545309,-0.0174367098901141,0.32514450867052,0.00963391136801544,0.577552986512524,0.514450867052023,-0.0262858897589436,0.512511818468326,-1,0.172968349016253,1.05269461077844,0.0144421779152317,-0.00769094946962481,0.00174844943127826,"Ineligible"
"214","2000-2010",100800,-0.0218621839620013,-0.102222895202953,-0.0201616427313803,0.159514364707297,-0.159251658930393,0.327279044270588,-0.485929592001691,0.0593439635091276,0.665402871317044,0.605781237846744,0.0364500792393028,0.0413683807858353,-0.0238356530272151,0.0316064591966062,-0.133912993817907,0.423100143385405,-0.622503961965135,0.0204189778129952,0.51437364095382,-0.0407658343483556,0.0769927536231883,-1,0.491536458333333,0.189453125,-0.238543724869772,0.612490257772133,-0.512390670553936,-0.181512911286964,0.733722060252673,0.0178345347391507,-0.107846526097477,-0.0446707211938412,"Ineligible"
"215","2000-2010",100900,-0.171805605503108,-0.0340909090909092,-0.0264592057038226,0.351098565841625,-0.0982694383971397,-0.032004859456098,-1,0.318873906054653,0.948264571054355,0.455376920608333,0.164408835311845,-0.044016136261766,-0.0529344332050218,0.10109507184665,-0.073858238947753,0.0275646875275969,-0.903850931677019,0.260971387842379,0.611910851297041,-0.089742099577459,0.0586951249090468,-1,0.22926267281106,0.469957461892946,-0.0375600609398805,-0.0105802095201044,-0.848382749326146,0.309973045822102,0.646130150173277,-0.0378028622060731,-0.0875980430922305,-0.0715297456719496,"Eligible"
"216","2000-2010",101001,-0.180415563316727,-0.066677647733794,-0.0599834744764184,0.441371251600288,-0.326223397580901,-0.0466083534012735,0.680355839416058,-0.417476642335766,0.26385738349242,0.95017998419964,0.172738223940832,-0.0171148984672654,0.0133433466899277,-0.0130434121685727,-0.0906537894018375,-0.0073237223829259,0.531995768688293,-0.546075327796061,1.43380888075303,-0.448013355779551,0.0439544616655482,0.385486476993326,0.0391148577449947,0.818451001053741,0.488626264117517,-0.0493946952074777,0.611219015280136,-0.622370543293718,1.53044012015149,-0.110909732709347,-0.0541728693347525,-0.0845610321153819,"Eligible"
"217","2000-2010",101002,-0.19410559821068,-0.0817045626719943,-0.0177226131127253,0.44309183146329,0.0228381424203878,-0.0478478999553225,0.47325911686225,-0.196983495062826,1.55106447077726,0.331491378835356,0.270616658996779,-0.0605298816146056,-0.0159717324390346,-0.000642978286581327,0.0494337979094076,0.00471263829720836,0.177506775067751,-0.0365853658536586,0.567346195850018,-0.225187406296852,0.0168260464362414,-0.230884557721139,-0.316341829085457,-0.179610194902549,0.223582318996868,0.000668898439052196,0.49054573405073,-0.0101844734819369,0.737775675515876,-0.143332023108173,-0.07053801343603,-0.118823611239915,"Eligible"
"218","2000-2010",10103,-0.138104618078354,0.0116912512572092,-0.277871436768351,-0.357230562634705,-0.191897949097871,0.070839716932954,1.15473845480412,0.743261292049353,1.26247537754432,0.132870066389436,-5.65323082141075e-05,-0.282142857142857,-0.287074190262342,-0.11367293796089,-0.117110420327071,-0.0500537056928035,-1,0.782266009852217,-0.850834879406308,0.0884353741496599,1.28571428571429,NA,-0.272727272727273,-1,-0.139979068550497,-0.128243890148652,-1,0.986491050320838,-0.843083900226757,-0.18027029478458,-0.054673721340388,-0.163323119616118,"Ineligible"
"219","2000-2010",10104,0.511099905008737,-0.0235362528513455,-0.0223454223208107,0.141455037468776,-0.100623446851994,-0.0492080243208178,0.666611157368859,0.363312435715335,1.08326394671107,0.318970517344937,-0.0253450966978443,0.0373513660706182,0.133540676886908,0.0624268040395858,-0.0449324379859615,-0.0634423567617722,0.011482254697286,0.29994200881466,0.348643006263048,-0.0856982173646003,1.27514546965919,Inf,0.920577344517494,0.950124688279302,-0.033934176905475,-0.139053905390539,-0.234158415841584,0.215006057567782,0.2996099609961,0.0434417212213024,0.0647232493478946,0.048984627063959,"Ineligible"
"220","2000-2010",101101,-0.130789247535153,-0.0245336693211012,0.000981794287039546,0.2972781976141,0.316839819216998,-0.103078997628168,0.306090106407064,-0.153460116217644,-0.274394385329409,1.60209157859946,0.0127974854063763,0.0358557501874748,0.0271800279073879,-0.0174927871916779,0.390648854961832,-0.0566054514208065,-0.503339694656489,1.97996183206107,1.90049618320611,-0.0410628019323672,0.00264211058009866,-1,Inf,1.10966183574879,0.625236593059937,-0.0976725530369551,-0.322818086225026,1.03154574132492,2.14889589905363,-0.00533409807857758,-0.0317451935300905,-0.0154809643443812,"Eligible"
"221","2000-2010",101102,-0.146988731014209,-0.0807425653582863,0.0640102312051758,0.357903800886181,0.0867303609341826,-0.0471949170628163,-0.0363967242948135,-0.310147654892878,-0.662738853503185,0.626972753007785,0.235091637119226,0.0107401491625515,-0.0360255365923077,0.0107605906866231,0.566298755363891,0.0142110875025641,0.180675049636003,0.239708802117803,0.195144106616836,0.314145314145314,0.0329290329290329,-1,-0.318591318591319,-0.182309582309582,0.642134661835749,0.00675688039818477,0.382850241545894,1.07427536231884,0.240055923125394,-0.067297323174296,-0.117410986365745,-0.0806615745350174,"Ineligible"
"222","2000-2010",10203,0.0987867831085969,0.0456229679053591,-0.126469102552356,-0.129789573383356,-0.039495978276324,0.0554101748870212,0.166878126362774,0.160442268811975,-0.645596932695604,0.0828744722256224,-0.0193174424881824,-0.223805435306769,-0.190475669627323,0.0153119980084343,-0.0100760019733191,-0.0990158396010939,-0.146070663046585,0.15931147384811,-0.300984772928467,-0.0249773668771686,0.466864754098361,NA,0.438102700096432,-1,-0.00475856087442653,-0.122332076525625,-0.164527649769585,0.136306233742226,-0.251191250617264,0.0154313599253745,0.0661550437619392,0.0211128063310589,"Gentrified"
"223","2000-2010",10204,-0.372103033983381,0.0259913368132955,-0.259113352242883,0.0973729233262798,-0.00464148159782603,-0.0389239262456753,1.49133312322723,0.0948965635412875,-0.584777812795462,-0.169555625590923,-0.00263285621399847,0.39572192513369,0.13355657106839,-0.258409756186133,-0.00571147718798727,0.0252525252525253,Inf,0.0379622673011103,-0.282323232323232,-0.0670987654320987,-0.265432098765432,NA,0.525641025641026,-1,-0.00169890160610043,0.0711500974658868,Inf,0.0196974726967832,-0.166883257526532,-0.0434585549378705,0.00772380420621619,-0.038855658780997,"Ineligible"
"224","2000-2010",10300,0.607899609133923,-0.0223060079463298,0.0894646884318637,0.527504628677227,-0.0678061917554669,0.289353460154561,-0.598025097716519,0.0141194235273601,-0.272616843487035,0.543718742382779,-0.208311818523625,0.907137085914355,0.0439348208556068,-0.503442767767465,-0.3874571090799,1.73886075949367,-1,0.364711960733661,3.26835443037975,-0.160714285714286,1.98412698412698,NA,0.342857142857143,Inf,-0.440166681764653,1.90353722582638,-1,0.339676889375685,3.51872708224201,-0.0360370051635112,-0.031272210376688,-0.0541946247869137,"Gentrified"
