GEOID,tot_pop,med_income,ed_hs,rc_white,lang_eng,percEng,percWhite,geometry
030300,4598,106602,638,4126,83.9,83.9,89.73466724662897,"list(list(c(-71.052061, -71.051888, -71.051769, -71.051223, -71.051115, -71.05109, -71.0496, -71.049409, -71.046389, -71.0455, -71.045566, -71.049073, -71.049595, -71.050434, -71.050471, -71.050892, -71.05106, -71.052158, -71.055759, -71.057191, -71.05771, -71.058235, -71.058737, -71.058561, -71.05829, -71.062642, -71.062817, -71.062875, -71.062864, -71.062911, -71.061856, -71.058559, -71.0584, -71.058216, -71.058037, -71.057882, -71.057709, -71.057332, -71.056176, -71.05525, -71.055123, -71.05489, 
-71.054661, -71.054494, -71.054296, -71.054061, -71.053826, -71.053709, -71.053549, -71.053199, -71.052769, -71.05224, -71.052061, 42.36371, 42.363917, 42.364263, 42.364104, 42.363979, 42.364175, 42.364044, 42.364045, 42.363935, 42.359825, 42.359733, 42.354939, 42.354497, 42.354846, 42.354898, 42.35506, 42.355131, 42.358666, 42.356913, 42.356822, 42.356777, 42.356832, 42.356988, 42.357161, 42.35741, 42.357977, 42.358665, 42.359483, 42.36009, 42.361229, 42.36243, 42.363381, 42.363412, 42.363431, 42.363481, 
42.363546, 42.363543, 42.36318, 42.362357, 42.36183, 42.362045, 42.362265, 42.36238, 42.362511, 42.36283, 42.363108, 42.363303, 42.363367, 42.363416, 42.363474, 42.36353, 42.363626, 42.36371)))"
030400,2241,61157,140,2123,87.8,87.8,94.73449352967425,"list(list(c(-71.055904, -71.055505, -71.055414, -71.055753, -71.055932, -71.055631, -71.055433, -71.054944, -71.054249, -71.053926, -71.053631, -71.053485, -71.053248, -71.053004, -71.052861, -71.053014, -71.053204, -71.053398, -71.051769, -71.051888, -71.052061, -71.05224, -71.052769, -71.053199, -71.053549, -71.053709, -71.053826, -71.054061, -71.054296, -71.054494, -71.054661, -71.05489, -71.055123, -71.05525, -71.056176, -71.055699, -71.056293, -71.056176, -71.055904, 42.363518, 42.364173, 42.365268, 
42.36547, 42.365558, 42.36595, 42.366241, 42.366052, 42.367099, 42.366966, 42.3668, 42.366644, 42.366319, 42.366053, 42.365829, 42.365314, 42.365066, 42.364841, 42.364263, 42.363917, 42.36371, 42.363626, 42.36353, 42.363474, 42.363416, 42.363367, 42.363303, 42.363108, 42.36283, 42.362511, 42.36238, 42.362265, 42.362045, 42.36183, 42.362357, 42.362652, 42.362998, 42.363135, 42.363518)))"
030500,2395,82308,138,2307,89.8,89.8,96.32567849686848,"list(list(c(-71.058042, -71.058525, -71.058585, -71.059051, -71.059558, -71.059795, -71.057141, -71.054995, -71.050895, -71.049095, -71.048844, -71.049575, -71.047025, -71.046389, -71.049409, -71.0496, -71.05109, -71.051115, -71.051223, -71.051769, -71.053398, -71.053204, -71.053014, -71.052861, -71.053004, -71.053248, -71.053485, -71.053631, -71.053926, -71.0534, -71.057324, -71.05756, -71.058042, 42.367283, 42.366952, 42.367117, 42.367779, 42.368427, 42.368767, 42.369982, 42.370697, 42.370697, 
42.371197, 42.370904, 42.370189, 42.367812, 42.363935, 42.364045, 42.364044, 42.364175, 42.363979, 42.364104, 42.364263, 42.364841, 42.365066, 42.365314, 42.365829, 42.366053, 42.366319, 42.366644, 42.3668, 42.366966, 42.367525, 42.367799, 42.367652, 42.367283)))"
040100,2310,120250,202,2271,91.8,91.8,98.31168831168831,"list(list(c(-71.061873, -71.061235, -71.060492, -71.059718, -71.060008, -71.058333, -71.058323, -71.058696, -71.058584, -71.058206, -71.058772, -71.05766, -71.057545, -71.056107, -71.054995, -71.057141, -71.059795, -71.060637, -71.060664, -71.061292, -71.06185, -71.06384, -71.062786, -71.062221, -71.061873, 42.375951, 42.377154, 42.376923, 42.376649, 42.376072, 42.374331, 42.374151, 42.373887, 42.373746, 42.373827, 42.371876, 42.372228, 42.37217, 42.371508, 42.370697, 42.369982, 42.368767, 42.370022, 
42.370059, 42.370751, 42.371096, 42.371916, 42.374493, 42.375193, 42.375951)))"
040200,1697,51377,462,1331,83.8,83.8,78.4325279905716,"list(list(c(-71.060008, -71.059718, -71.060492, -71.0603, -71.059867, -71.059078, -71.058742, -71.057116, -71.056459, -71.056286, -71.055912, -71.054154, -71.052941, -71.053638, -71.055231, -71.055835, -71.056244, -71.056956, -71.058206, -71.058584, -71.058696, -71.058323, -71.058333, -71.060008, 42.376072, 42.376649, 42.376923, 42.377223, 42.378054, 42.377795, 42.377667, 42.377089, 42.376924, 42.37741, 42.379115, 42.379039, 42.378428, 42.377721, 42.376225, 42.375634, 42.375311, 42.374874, 42.373827, 
42.373746, 42.373887, 42.374151, 42.374331, 42.376072)))"
040300,4122,109028,549,3244,85.4,85.4,78.699660359049,"list(list(c(-71.069106, -71.067928, -71.06494, -71.064195, -71.062356, -71.061815, -71.061596, -71.06139, -71.058956, -71.059353, -71.059679, -71.059867, -71.0603, -71.060492, -71.061235, -71.061873, -71.062388, -71.063092, -71.0635, -71.063928, -71.064259, -71.06497, -71.065305, -71.065503, -71.069106, 42.37941, 42.380498, 42.379316, 42.381867, 42.381102, 42.380874, 42.380789, 42.380696, 42.379668, 42.378974, 42.378319, 42.378054, 42.377223, 42.376923, 42.377154, 42.375951, 42.376117, 42.374689, 
42.376525, 42.376685, 42.376844, 42.377305, 42.377586, 42.377791, 42.37941)))"
040401,2466,70026,766,2303,93.5,93.5,93.39010543390106,"list(list(c(-71.070901, -71.070514, -71.069987, -71.069106, -71.065503, -71.065305, -71.06497, -71.064259, -71.063928, -71.0635, -71.063092, -71.062388, -71.061873, -71.062221, -71.062786, -71.06384, -71.06185, -71.061292, -71.060664, -71.060637, -71.059795, -71.062132, -71.063688, -71.064095, -71.067091, -71.070528, -71.068217, -71.069603, -71.070901, 42.379871, 42.380047, 42.380309, 42.37941, 42.377791, 42.377586, 42.377305, 42.376844, 42.376685, 42.376525, 42.374689, 42.376117, 42.375951, 42.375193, 
42.374493, 42.371916, 42.371096, 42.370751, 42.370059, 42.370022, 42.368767, 42.368551, 42.368904, 42.368997, 42.371843, 42.372378, 42.375124, 42.377573, 42.379871)))"
040600,2387,108060,481,2293,93.1,93.1,96.06200251361541,"list(list(c(-71.069987, -71.070514, -71.070901, -71.069603, -71.068217, -71.070528, -71.072595, -71.072968, -71.072873, -71.074397, -71.075696, -71.080595, -71.080884, -71.080947, -71.080083, -71.079785, -71.0795, -71.078695, -71.077508, -71.077346, -71.074273, -71.073496, -71.072696, -71.067996, -71.067178, -71.067778, -71.070632, -71.070896, -71.065695, -71.057395, -71.055524, -71.057404, -71.058504, -71.061596, -71.061815, -71.062356, -71.064195, -71.06494, -71.067928, -71.069106, -71.069987, 
42.380309, 42.380047, 42.379871, 42.377573, 42.375124, 42.372378, 42.372597, 42.373342, 42.373694, 42.377298, 42.380197, 42.380997, 42.382141, 42.382378, 42.382773, 42.382932, 42.383348, 42.384296, 42.385881, 42.386097, 42.390587, 42.391796, 42.390796, 42.394996, 42.394492, 42.393185, 42.389693, 42.388996, 42.386596, 42.387297, 42.387119, 42.384802, 42.3845, 42.380789, 42.380874, 42.381102, 42.381867, 42.379316, 42.380498, 42.37941, 42.380309)))"
040801,3620,32333,1166,1993,59.5,59.5,55.05524861878453,"list(list(c(-71.056244, -71.055835, -71.055231, -71.053638, -71.052941, -71.054154, -71.055912, -71.056286, -71.056459, -71.057116, -71.058742, -71.059078, -71.059867, -71.059679, -71.059353, -71.058956, -71.06139, -71.061596, -71.058504, -71.057404, -71.055524, -71.055295, -71.048186, -71.047284, -71.044298, -71.044652, -71.044982, -71.045195, -71.045561, -71.046995, -71.049095, -71.050895, -71.054995, -71.056107, -71.057545, -71.05766, -71.058772, -71.058206, -71.056956, -71.056244, 42.375311, 
42.375634, 42.376225, 42.377721, 42.378428, 42.379039, 42.379115, 42.37741, 42.376924, 42.377089, 42.377667, 42.377795, 42.378054, 42.378319, 42.378974, 42.379668, 42.380696, 42.380789, 42.3845, 42.384802, 42.387119, 42.387097, 42.385686, 42.385284, 42.383209, 42.380777, 42.378543, 42.377097, 42.376182, 42.372597, 42.371197, 42.370697, 42.370697, 42.371508, 42.37217, 42.372228, 42.371876, 42.373827, 42.374874, 42.375311)))"
050101,5225,30274,2477,3112,22.2,22.2,59.55980861244019,"list(list(c(-71.033395, -71.033423, -71.033194, -71.035341, -71.035764, -71.039211, -71.040029, -71.040054, -71.043244, -71.044982, -71.044652, -71.044298, -71.043264, -71.039512, -71.039427, -71.039316, -71.039262, -71.039322, -71.03931, -71.039315, -71.033395, 42.382611, 42.380522, 42.380103, 42.379305, 42.379936, 42.378634, 42.37865, 42.378934, 42.378622, 42.378543, 42.380777, 42.383209, 42.383594, 42.386853, 42.386859, 42.386847, 42.386831, 42.385405, 42.383949, 42.382606, 42.382611)))"
050200,5439,51191,2406,3554,24.4,24.4,65.34289391432249,"list(list(c(-71.035764, -71.035341, -71.034511, -71.032359, -71.030235, -71.02982, -71.029191, -71.03054, -71.031044, -71.031537, -71.033678, -71.034096, -71.036256, -71.035834, -71.03878, -71.039092, -71.039075, -71.039334, -71.039978, -71.039744, -71.039899, -71.040029, -71.039211, -71.035764, 42.379936, 42.379305, 42.378069, 42.378856, 42.379663, 42.379051, 42.378128, 42.377006, 42.37732, 42.377628, 42.376827, 42.37745, 42.376652, 42.376031, 42.374927, 42.374923, 42.374167, 42.374254, 42.374601, 
42.375298, 42.37712, 42.37865, 42.378634, 42.379936)))"
050300,2146,14505,815,754,35.9,35.9,35.13513513513514,"list(list(c(-71.039899, -71.039744, -71.039978, -71.039334, -71.039075, -71.03903, -71.039184, -71.040294, -71.041255, -71.038919, -71.041892, -71.043396, -71.04445, -71.045734, -71.046272, -71.046995, -71.045561, -71.045195, -71.044982, -71.043244, -71.040054, -71.040029, -71.039899, 42.37712, 42.375298, 42.374601, 42.374254, 42.374167, 42.372371, 42.37213, 42.370739, 42.369535, 42.368504, 42.366346, 42.364598, 42.365793, 42.368634, 42.369323, 42.372597, 42.376182, 42.377097, 42.378543, 42.378622, 
42.378934, 42.37865, 42.37712)))"
050400,2311,46250,1106,1749,48.6,48.6,75.68152315015145,"list(list(c(-71.040294, -71.03866, -71.038586, -71.037643, -71.036989, -71.034754, -71.035234, -71.035382, -71.035728, -71.036831, -71.039388, -71.038689, -71.038919, -71.041255, -71.040294, 42.370739, 42.370009, 42.36999, 42.369577, 42.369287, 42.36831, 42.367731, 42.367564, 42.367125, 42.365716, 42.366844, 42.368406, 42.368504, 42.369535, 42.370739)))"
050500,1925,40929,958,1331,22.9,22.9,69.14285714285714,"list(list(c(-71.033923, -71.030998, -71.032867, -71.033387, -71.034754, -71.036989, -71.033923, 42.371932, 42.370043, 42.368434, 42.367734, 42.36831, 42.369287, 42.371932)))"
050600,1906,41196,1048,918,16.3,16.3,48.163693599160545,"list(list(c(-71.036984, -71.035152, -71.034449, -71.034742, -71.033923, -71.036989, -71.037643, -71.038586, -71.03866, -71.040294, -71.039184, -71.03903, -71.039075, -71.039092, -71.03878, -71.03771, -71.038087, -71.037341, -71.036984, 42.373958, 42.373013, 42.372711, 42.372461, 42.371932, 42.369287, 42.369577, 42.36999, 42.370009, 42.370739, 42.37213, 42.372371, 42.374167, 42.374923, 42.374927, 42.374112, 42.373536, 42.374014, 42.373958)))"
050700,4652,54479,2519,2943,21.4,21.4,63.26311263972485,"list(list(c(-71.031537, -71.031044, -71.03054, -71.029191, -71.028583, -71.028081, -71.028021, -71.027851, -71.027739, -71.032977, -71.034449, -71.035152, -71.036984, -71.037341, -71.038087, -71.03771, -71.03878, -71.035834, -71.036256, -71.034096, -71.033678, -71.031537, 42.377628, 42.37732, 42.377006, 42.378128, 42.377756, 42.377407, 42.377358, 42.377271, 42.37722, 42.372793, 42.372711, 42.373013, 42.373958, 42.374014, 42.373536, 42.374112, 42.374927, 42.376031, 42.376652, 42.37745, 42.376827, 
42.377628)))"
050901,4368,39893,2461,2475,24.6,24.6,56.66208791208791,"list(list(c(-71.038813, -71.033234, -71.031995, -71.027712, -71.022672, -71.022542, -71.022458, -71.022179, -71.022664, -71.021869, -71.021698, -71.021767, -71.022873, -71.023558, -71.022636, -71.022322, -71.022032, -71.021562, -71.022276, -71.022658, -71.025103, -71.027739, -71.027851, -71.028021, -71.028081, -71.028583, -71.029191, -71.02982, -71.030235, -71.032359, -71.034511, -71.035341, -71.033194, -71.033423, -71.033395, -71.039315, -71.03931, -71.039322, -71.039262, -71.039082, -71.038813, 
42.386811, 42.38491, 42.384597, 42.384041, 42.386265, 42.386066, 42.385937, 42.385393, 42.383916, 42.383578, 42.383539, 42.383019, 42.381987, 42.381379, 42.381739, 42.381201, 42.38101, 42.380143, 42.379906, 42.379756, 42.379736, 42.37722, 42.377271, 42.377358, 42.377407, 42.377756, 42.378128, 42.379051, 42.379663, 42.378856, 42.378069, 42.379305, 42.380103, 42.380522, 42.382611, 42.382606, 42.383949, 42.385405, 42.386831, 42.386801, 42.386811)))"
051000,3896,39559,1598,3415,62.5,62.5,87.65400410677618,"list(list(c(-71.010842, -71.010376, -71.010149, -71.013395, -71.011268, -71.013454, -71.014752, -71.015625, -71.015724, -71.021562, -71.022032, -71.022322, -71.022636, -71.023558, -71.022873, -71.021767, -71.021698, -71.021869, -71.022664, -71.022179, -71.022458, -71.022542, -71.022672, -71.022428, -71.017794, -71.016094, -71.013395, -71.011272, -71.01193, -71.010001, -71.011609, -71.013123, -71.008046, -71.008401, -71.010842, 42.386132, 42.385439, 42.3851, 42.382899, 42.380653, 42.380871, 42.379304, 
42.380313, 42.380482, 42.380143, 42.38101, 42.381201, 42.381739, 42.381379, 42.381987, 42.383019, 42.383539, 42.383578, 42.383916, 42.385393, 42.385937, 42.386066, 42.386265, 42.386373, 42.390697, 42.395897, 42.397398, 42.396589, 42.395752, 42.39549, 42.393493, 42.391632, 42.38712, 42.387008, 42.386132)))"
051101,6376,51855,3132,4718,39.4,39.4,73.99623588456713,"list(list(c(-71.010149, -71.010376, -71.010842, -71.008401, -71.008046, -71.013123, -71.011609, -71.008579, -71.005972, -71.002303, -70.998233, -70.995086, -70.995076, -70.995047, -70.99458, -70.994454, -70.994731, -70.996729, -70.996403, -70.999388, -71.001105, -70.996182, -70.996423, -71.000018, -71.00076, -70.994681, -70.994648, -70.997994, -70.99898, -70.999347, -70.999494, -70.999689, -71.000055, -71.000206, -71.005701, -71.008856, -71.011119, -71.011172, -71.011268, -71.013395, -71.010149, 
42.3851, 42.385439, 42.386132, 42.387008, 42.38712, 42.391632, 42.393493, 42.393387, 42.392821, 42.392384, 42.390266, 42.393511, 42.393529, 42.393566, 42.393329, 42.393316, 42.392888, 42.390291, 42.388414, 42.388331, 42.386965, 42.385396, 42.384351, 42.385629, 42.384512, 42.382709, 42.38115, 42.378197, 42.377895, 42.377665, 42.377648, 42.377731, 42.377706, 42.377754, 42.37904, 42.380017, 42.380803, 42.380718, 42.380653, 42.382899, 42.3851)))"
051200,2462,43954,1041,1680,43.2,43.2,68.23720552396426,"list(list(c(-71.042596, -71.043396, -71.041892, -71.038919, -71.038689, -71.039388, -71.036831, -71.035728, -71.035382, -71.035234, -71.034754, -71.033387, -71.032036, -71.031224, -71.030684, -71.028866, -71.027887, -71.027633, -71.026275, -71.028088, -71.026352, -71.027005, -71.029734, -71.030184, -71.028258, -71.03151, -71.034186, -71.039629, -71.040125, -71.042596, 42.363798, 42.364598, 42.366346, 42.368504, 42.368406, 42.366844, 42.365716, 42.367125, 42.367564, 42.367731, 42.36831, 42.367734, 
42.367122, 42.366783, 42.366557, 42.365751, 42.365335, 42.365005, 42.36385, 42.358333, 42.357222, 42.355983, 42.357591, 42.359366, 42.362194, 42.361196, 42.359237, 42.361777, 42.362115, 42.363798)))"
060101,3106,70172,893,3071,98.5,98.5,98.87314874436575,"list(list(c(-71.025001, -71.025155, -71.026388, -71.027084, -71.029533, -71.031143, -71.031191, -71.031226, -71.031254, -71.031283, -71.029212, -71.029234, -71.029317, -71.027255, -71.025133, -71.025071, -71.025026, -71.025009, -71.025001, 42.333021, 42.332923, 42.332617, 42.332409, 42.331432, 42.330653, 42.33236, 42.333186, 42.334002, 42.334832, 42.334861, 42.335729, 42.338238, 42.338271, 42.33831, 42.335802, 42.334095, 42.333281, 42.333021)))"
060200,2055,83398,477,2034,92.6,92.6,98.97810218978103,"list(list(c(-71.035207, -71.035247, -71.035296, -71.033262, -71.03328, -71.0333, -71.033312, -71.033346, -71.029234, -71.029212, -71.031283, -71.031254, -71.031226, -71.031191, -71.031143, -71.035207, 42.32935, 42.330642, 42.332293, 42.332329, 42.333146, 42.333978, 42.334617, 42.335661, 42.335729, 42.334861, 42.334832, 42.334002, 42.333186, 42.33236, 42.330653, 42.32935)))"
060301,2672,80457,723,2620,96.1,96.1,98.05389221556887,"list(list(c(-71.037268, -71.037291, -71.037314, -71.037336, -71.041479, -71.041511, -71.04153, -71.04155, -71.039961, -71.037431, -71.035421, -71.033346, -71.033312, -71.0333, -71.03328, -71.033262, -71.035296, -71.035247, -71.035207, -71.036044, -71.037248, -71.037243, -71.037268, 42.330607, 42.331432, 42.332265, 42.33308, 42.333016, 42.333827, 42.334662, 42.335518, 42.335551, 42.335588, 42.33563, 42.335661, 42.334617, 42.333978, 42.333146, 42.332329, 42.332293, 42.330642, 42.32935, 42.329348, 42.329525, 
42.329707, 42.330607)))"
060400,4856,71711,1096,4793,94.9,94.9,98.70263591433279,"list(list(c(-71.047415, -71.047405, -71.047449, -71.047456, -71.04745, -71.047508, -71.046763, -71.046277, -71.045695, -71.045444, -71.044269, -71.04155, -71.04153, -71.041511, -71.041479, -71.037336, -71.037314, -71.037291, -71.037268, -71.037243, -71.037248, -71.03904, -71.039791, -71.044053, -71.047385, -71.047384, -71.047415, 42.331245, 42.331735, 42.332313, 42.332966, 42.333646, 42.334599, 42.334959, 42.335223, 42.335452, 42.335452, 42.33547, 42.335518, 42.334662, 42.333827, 42.333016, 42.33308, 
42.332265, 42.331432, 42.330607, 42.329707, 42.329525, 42.329957, 42.330088, 42.330192, 42.330136, 42.330419, 42.331245)))"
060501,3395,89922,663,2901,91.4,91.4,85.44918998527245,"list(list(c(-71.033346, -71.035421, -71.037431, -71.039961, -71.04155, -71.044269, -71.045444, -71.045695, -71.046288, -71.04776, -71.04652, -71.045559, -71.044383, -71.042475, -71.037522, -71.035486, -71.029317, -71.029234, -71.033346, 42.335661, 42.33563, 42.335588, 42.335551, 42.335518, 42.33547, 42.335452, 42.335452, 42.335864, 42.336812, 42.337877, 42.338718, 42.33798, 42.33801, 42.338095, 42.338141, 42.338238, 42.335729, 42.335661)))"
060600,1831,78750,272,1605,88,88,87.65701802293829,"list(list(c(-71.04652, -71.04776, -71.05084, -71.051308, -71.052168, -71.052377, -71.044555, -71.045742, -71.051157, -71.052188, -71.051463, -71.051461, -71.050039, -71.049595, -71.049073, -71.045566, -71.045833, -71.029659, -71.033623, -71.033404, -71.035778, -71.035134, -71.037314, -71.037451, -71.039493, -71.041406, -71.047072, -71.046094, -71.045559, -71.04652, 42.337877, 42.336812, 42.338795, 42.339123, 42.339657, 42.339803, 42.346545, 42.348077, 42.350649, 42.351121, 42.351932, 42.352033, 42.353855, 
42.354497, 42.354939, 42.359733, 42.357204, 42.3517, 42.348142, 42.350864, 42.347757, 42.3466, 42.343216, 42.343214, 42.344487, 42.344526, 42.339701, 42.339051, 42.338718, 42.337877)))"
060700,1801,17143,853,472,47.5,47.5,26.20766240977235,"list(list(c(-71.055375, -71.057112, -71.056772, -71.05624, -71.053928, -71.052377, -71.052168, -71.051308, -71.05084, -71.052405, -71.05389, -71.055375, 42.337224, 42.338333, 42.338383, 42.338869, 42.340791, 42.339803, 42.339657, 42.339123, 42.338795, 42.337488, 42.33624, 42.337224)))"
060800,3475,75814,939,3199,93.7,93.7,92.05755395683454,"list(list(c(-71.048769, -71.049067, -71.049726, -71.050238, -71.051086, -71.051925, -71.052296, -71.052806, -71.053179, -71.055308, -71.056204, -71.057118, -71.057112, -71.055375, -71.05389, -71.052405, -71.05084, -71.04776, -71.046288, -71.045695, -71.046277, -71.046763, -71.047508, -71.048318, -71.048769, 42.334015, 42.333863, 42.333558, 42.333342, 42.332815, 42.33232, 42.332055, 42.331759, 42.331574, 42.335047, 42.33651, 42.337904, 42.338333, 42.337224, 42.33624, 42.337488, 42.338795, 42.336812, 
42.335864, 42.335452, 42.335223, 42.334959, 42.334599, 42.334206, 42.334015)))"
061000,3548,26056,1062,2205,63.2,63.2,62.147688838782415,"list(list(c(-71.052501, -71.052583, -71.052659, -71.052722, -71.052766, -71.052802, -71.052964, -71.053179, -71.052806, -71.052296, -71.051925, -71.051086, -71.050238, -71.049726, -71.049067, -71.048769, -71.048318, -71.047508, -71.04745, -71.047456, -71.047449, -71.047405, -71.047415, -71.047384, -71.047385, -71.048068, -71.048223, -71.05193, -71.052119, -71.052501, 42.329142, 42.329206, 42.329356, 42.330213, 42.330487, 42.330634, 42.331127, 42.331574, 42.331759, 42.332055, 42.33232, 42.332815, 
42.333342, 42.333558, 42.333863, 42.334015, 42.334206, 42.334599, 42.333646, 42.332966, 42.332313, 42.331735, 42.331245, 42.330419, 42.330136, 42.330102, 42.330098, 42.329148, 42.329061, 42.329142)))"
061101,2265,12429,995,872,36.2,36.2,38.498896247240616,"list(list(c(-71.056915, -71.056928, -71.052624, -71.052565, -71.052392, -71.052093, -71.052287, -71.052456, -71.054295, -71.05685, -71.056868, -71.056915, 42.328035, 42.328552, 42.328597, 42.327112, 42.322976, 42.321469, 42.321465, 42.321466, 42.324425, 42.326289, 42.326867, 42.328035)))"
061200,3007,66179,687,2748,84.3,84.3,91.3867642168274,"list(list(c(-71.062807, -71.065044, -71.065395, -71.065417, -71.064812, -71.062445, -71.061188, -71.059777, -71.05961, -71.058738, -71.058031, -71.055102, -71.052188, -71.051157, -71.045742, -71.044555, -71.052377, -71.053928, -71.05624, -71.056772, -71.057112, -71.057118, -71.056204, -71.055308, -71.053179, -71.052964, -71.052802, -71.052766, -71.052722, -71.052659, -71.052583, -71.052501, -71.052649, -71.052624, -71.056928, -71.056915, -71.057471, -71.057845, -71.057723, -71.058249, -71.058241, 
-71.059288, -71.06023, -71.063553, -71.062807, 42.331959, 42.334594, 42.335322, 42.335401, 42.338294, 42.342988, 42.342652, 42.344896, 42.345077, 42.345125, 42.345796, 42.346841, 42.351121, 42.350649, 42.348077, 42.346545, 42.339803, 42.340791, 42.338869, 42.338383, 42.338333, 42.337904, 42.33651, 42.335047, 42.331574, 42.331127, 42.330634, 42.330487, 42.330213, 42.329356, 42.329206, 42.329142, 42.32915, 42.328597, 42.328552, 42.328035, 42.328046, 42.328139, 42.328368, 42.328616, 42.329734, 42.329973, 
42.330187, 42.330791, 42.331959)))"
070101,4694,41786,906,2896,57.7,57.7,61.69578184916915,"list(list(c(-71.062761, -71.063284, -71.064725, -71.064562, -71.064366, -71.064235, -71.063592, -71.063308, -71.063042, -71.062257, -71.061956, -71.063169, -71.062642, -71.05829, -71.058561, -71.058737, -71.058235, -71.05771, -71.057191, -71.055759, -71.052158, -71.05106, -71.050892, -71.050471, -71.050434, -71.049595, -71.050039, -71.051461, -71.051463, -71.052188, -71.055102, -71.058031, -71.058738, -71.05961, -71.059777, -71.060029, -71.060143, -71.060754, -71.061096, -71.060836, -71.063039, -71.061754, 
-71.061193, -71.059875, -71.060893, -71.062761, 42.351508, 42.351548, 42.351708, 42.352383, 42.353064, 42.353394, 42.354759, 42.355209, 42.355514, 42.356268, 42.356534, 42.357748, 42.357977, 42.35741, 42.357161, 42.356988, 42.356832, 42.356777, 42.356822, 42.356913, 42.358666, 42.355131, 42.35506, 42.354898, 42.354846, 42.354497, 42.353855, 42.352033, 42.351932, 42.351121, 42.346841, 42.345796, 42.345125, 42.345077, 42.344896, 42.345091, 42.345168, 42.345609, 42.345537, 42.346305, 42.34685, 42.347221, 
42.34793, 42.351228, 42.351461, 42.351508)))"
070200,5329,18224,2051,1532,38.4,38.4,28.748358040908236,"list(list(c(-71.064434, -71.064559, -71.065755, -71.066784, -71.068193, -71.066613, -71.066868, -71.067252, -71.067469, -71.064562, -71.064725, -71.063284, -71.062761, -71.060893, -71.059875, -71.061193, -71.061754, -71.063039, -71.064331, -71.064434, 42.347186, 42.347212, 42.347513, 42.347684, 42.347866, 42.348761, 42.350962, 42.351816, 42.352495, 42.352383, 42.351708, 42.351548, 42.351508, 42.351461, 42.351228, 42.34793, 42.347221, 42.34685, 42.347165, 42.347186)))"
070300,4392,106337,567,3338,76.5,76.5,76.00182149362477,"list(list(c(-71.075239, -71.073916, -71.073531, -71.072692, -71.071816, -71.072, -71.072659, -71.072822, -71.070455, -71.070655, -71.067469, -71.067252, -71.066868, -71.066613, -71.068193, -71.068437, -71.068503, -71.068841, -71.069855, -71.070684, -71.071584, -71.071863, -71.072746, -71.074872, -71.075091, -71.075136, -71.075239, 42.345856, 42.346924, 42.347262, 42.347931, 42.348651, 42.349022, 42.35041, 42.350755, 42.351417, 42.351854, 42.352495, 42.351816, 42.350962, 42.348761, 42.347866, 42.347677, 
42.347602, 42.347105, 42.345266, 42.344464, 42.343976, 42.343833, 42.345657, 42.345105, 42.345567, 42.345685, 42.345856)))"
070402,1901,16638,1061,150,21.2,21.2,7.890583903208838,"list(list(c(-71.065755, -71.064559, -71.064434, -71.064331, -71.063039, -71.060836, -71.061096, -71.060754, -71.060143, -71.060029, -71.059777, -71.061188, -71.062445, -71.062496, -71.06593, -71.067073, -71.069855, -71.068841, -71.068503, -71.068437, -71.068193, -71.066784, -71.065755, 42.347513, 42.347212, 42.347186, 42.347165, 42.34685, 42.346305, 42.345537, 42.345609, 42.345168, 42.345091, 42.344896, 42.342652, 42.342988, 42.343001, 42.343936, 42.344308, 42.345266, 42.347105, 42.347602, 42.347677, 
42.347866, 42.347684, 42.347513)))"
070500,7254,81331,1797,4832,67.3,67.3,66.6115246760408,"list(list(c(-71.074995, -71.07596, -71.075269, -71.075884, -71.077372, -71.076592, -71.075349, -71.074586, -71.073755, -71.073157, -71.071863, -71.071584, -71.070684, -71.069855, -71.067073, -71.06593, -71.068782, -71.069671, -71.070065, -71.070707, -71.071089, -71.071308, -71.072075, -71.072751, -71.071826, -71.072504, -71.074288, -71.074995, 42.337931, 42.338724, 42.339211, 42.339757, 42.340931, 42.341336, 42.341991, 42.342408, 42.342831, 42.34316, 42.343833, 42.343976, 42.344464, 42.345266, 42.344308, 
42.343936, 42.341661, 42.341343, 42.341161, 42.34079, 42.340539, 42.340662, 42.341286, 42.340841, 42.340056, 42.339615, 42.338421, 42.337931)))"
070600,2351,87222,402,1755,81,81,74.64908549553381,"list(list(c(-71.076592, -71.077372, -71.078356, -71.079005, -71.079191, -71.078531, -71.077645, -71.077387, -71.076798, -71.075936, -71.074488, -71.074872, -71.072746, -71.071863, -71.073157, -71.073755, -71.074586, -71.075349, -71.076592, 42.341336, 42.340931, 42.341845, 42.342544, 42.342687, 42.343192, 42.343351, 42.343535, 42.343679, 42.343915, 42.344297, 42.345105, 42.345657, 42.343833, 42.34316, 42.342831, 42.342408, 42.341991, 42.341336)))"
070700,2347,59048,426,1189,79.9,79.9,50.66041755432467,"list(list(c(-71.079972, -71.080082, -71.078086, -71.075981, -71.076261, -71.072, -71.071816, -71.072692, -71.073531, -71.073916, -71.075239, -71.075136, -71.075091, -71.074872, -71.074488, -71.075936, -71.076798, -71.077387, -71.077645, -71.078531, -71.079094, -71.079972, 42.34415, 42.344219, 42.345821, 42.347343, 42.347904, 42.349022, 42.348651, 42.347931, 42.347262, 42.346924, 42.345856, 42.345685, 42.345567, 42.345105, 42.344297, 42.343915, 42.343679, 42.343535, 42.343351, 42.343192, 42.343541, 
42.34415)))"
