tot_pop_00,nonwhite_pop_00,owner_occ_00,GEOID,med_income00,tot_pop_10,med_income_10,ed_hs_10,rc_white_10,lang_eng_10,percEng_10,percWhite_10,geometry,tot_pop_90,rc_white_90,lang_eng_90,med_income_90,ed_hs_90,ed_ba_90
1851,17,435,040100,89087,2310,120250,202,2271,91.8,91.8,98.31168831168831,"list(list(c(-71.061873, -71.061235, -71.060492, -71.059718, -71.060008, -71.058333, -71.058323, -71.058696, -71.058584, -71.058206, -71.058772, -71.05766, -71.057545, -71.056107, -71.054995, -71.057141, -71.059795, -71.060637, -71.060664, -71.061292, -71.06185, -71.06384, -71.062786, -71.062221, -71.061873, 42.375951, 42.377154, 42.376923, 42.376649, 42.376072, 42.374331, 42.374151, 42.373887, 42.373746, 42.373827, 42.371876, 42.372228, 42.37217, 42.371508, 42.370697, 42.369982, 42.368767, 42.370022, 
42.370059, 42.370751, 42.371096, 42.371916, 42.374493, 42.375193, 42.375951)))",3702,3668,1900,33998.2,790,1726
1486,188,135,040200,37093,1697,51377,462,1331,83.8,83.8,78.4325279905716,"list(list(c(-71.060008, -71.059718, -71.060492, -71.0603, -71.059867, -71.059078, -71.058742, -71.057116, -71.056459, -71.056286, -71.055912, -71.054154, -71.052941, -71.053638, -71.055231, -71.055835, -71.056244, -71.056956, -71.058206, -71.058584, -71.058696, -71.058323, -71.058333, -71.060008, 42.376072, 42.376649, 42.376923, 42.377223, 42.378054, 42.377795, 42.377667, 42.377089, 42.376924, 42.37741, 42.379115, 42.379039, 42.378428, 42.377721, 42.376225, 42.375634, 42.375311, 42.374874, 42.373827, 
42.373746, 42.373887, 42.374151, 42.374331, 42.376072)))",2972,2596,1042,21521.666666666668,1076,298
2655,139,439,040300,45883,4122,109028,549,3244,85.4,85.4,78.699660359049,"list(list(c(-71.069106, -71.067928, -71.06494, -71.064195, -71.062356, -71.061815, -71.061596, -71.06139, -71.058956, -71.059353, -71.059679, -71.059867, -71.0603, -71.060492, -71.061235, -71.061873, -71.062388, -71.063092, -71.0635, -71.063928, -71.064259, -71.06497, -71.065305, -71.065503, -71.069106, 42.37941, 42.380498, 42.379316, 42.381867, 42.381102, 42.380874, 42.380789, 42.380696, 42.379668, 42.378974, 42.378319, 42.378054, 42.377223, 42.376923, 42.377154, 42.375951, 42.376117, 42.374689, 
42.376525, 42.376685, 42.376844, 42.377305, 42.377586, 42.377791, 42.37941)))",5310,5032,2220,34555.2,1632,1530
2114,69,285,040400,53972,NA,NA,NA,NA,NA,NA,NA,NA,4228,4090,1704,32693,1622,910
1392,9,322,040500,71677,NA,NA,NA,NA,NA,NA,NA,NA,2784,2766,1040,41380.666666666664,944,854
351,4,82,040600,72646,2387,108060,481,2293,93.1,93.1,96.06200251361541,"list(list(c(-71.069987, -71.070514, -71.070901, -71.069603, -71.068217, -71.070528, -71.072595, -71.072968, -71.072873, -71.074397, -71.075696, -71.080595, -71.080884, -71.080947, -71.080083, -71.079785, -71.0795, -71.078695, -71.077508, -71.077346, -71.074273, -71.073496, -71.072696, -71.067996, -71.067178, -71.067778, -71.070632, -71.070896, -71.065695, -71.057395, -71.055524, -71.057404, -71.058504, -71.061596, -71.061815, -71.062356, -71.064195, -71.06494, -71.067928, -71.069106, -71.069987, 
42.380309, 42.380047, 42.379871, 42.377573, 42.375124, 42.372378, 42.372597, 42.373342, 42.373694, 42.377298, 42.380197, 42.380997, 42.382141, 42.382378, 42.382773, 42.382932, 42.383348, 42.384296, 42.385881, 42.386097, 42.390587, 42.391796, 42.390796, 42.394996, 42.394492, 42.393185, 42.389693, 42.388996, 42.386596, 42.387297, 42.387119, 42.384802, 42.3845, 42.380789, 42.380874, 42.381102, 42.381867, 42.379316, 42.380498, 42.37941, 42.380309)))",702,694,176,41806,332,56
1792,41,426,040700,85923,NA,NA,NA,NA,NA,NA,NA,NA,3584,3502,1614,40914.25,1024,1074
2903,245,135,040800,36267,NA,NA,NA,NA,NA,NA,NA,NA,5806,5316,2532,27307.666666666668,1570,1800
174,37,0,040899,0,NA,NA,NA,NA,NA,NA,NA,NA,348,274,0,0,82,14
4069,1067,408,050100,35632,NA,NA,NA,NA,NA,NA,NA,NA,8138,6004,2148,21356.75,3852,506
4034,1195,432,050200,35907,5439,51191,2406,3554,24.4,24.4,65.34289391432249,"list(list(c(-71.035764, -71.035341, -71.034511, -71.032359, -71.030235, -71.02982, -71.029191, -71.03054, -71.031044, -71.031537, -71.033678, -71.034096, -71.036256, -71.035834, -71.03878, -71.039092, -71.039075, -71.039334, -71.039978, -71.039744, -71.039899, -71.040029, -71.039211, -71.035764, 42.379936, 42.379305, 42.378069, 42.378856, 42.379663, 42.379051, 42.378128, 42.377006, 42.37732, 42.377628, 42.376827, 42.37745, 42.376652, 42.376031, 42.374927, 42.374923, 42.374167, 42.374254, 42.374601, 
42.375298, 42.37712, 42.37865, 42.378634, 42.379936)))",8068,5678,1768,24567,3654,484
1873,776,46,050300,19224,2146,14505,815,754,35.9,35.9,35.13513513513514,"list(list(c(-71.039899, -71.039744, -71.039978, -71.039334, -71.039075, -71.03903, -71.039184, -71.040294, -71.041255, -71.038919, -71.041892, -71.043396, -71.04445, -71.045734, -71.046272, -71.046995, -71.045561, -71.045195, -71.044982, -71.043244, -71.040054, -71.040029, -71.039899, 42.37712, 42.375298, 42.374601, 42.374254, 42.374167, 42.372371, 42.37213, 42.370739, 42.369535, 42.368504, 42.366346, 42.364598, 42.365793, 42.368634, 42.369323, 42.372597, 42.376182, 42.377097, 42.378543, 42.378622, 
42.378934, 42.37865, 42.37712)))",3746,2194,984,11005.333333333334,1836,128
1986,711,212,050400,28565,2311,46250,1106,1749,48.6,48.6,75.68152315015145,"list(list(c(-71.040294, -71.03866, -71.038586, -71.037643, -71.036989, -71.034754, -71.035234, -71.035382, -71.035728, -71.036831, -71.039388, -71.038689, -71.038919, -71.041255, -71.040294, 42.370739, 42.370009, 42.36999, 42.369577, 42.369287, 42.36831, 42.367731, 42.367564, 42.367125, 42.365716, 42.366844, 42.368406, 42.368504, 42.369535, 42.370739)))",3972,2550,1016,18864,2238,214
1616,592,164,050500,35449,1925,40929,958,1331,22.9,22.9,69.14285714285714,"list(list(c(-71.033923, -71.030998, -71.032867, -71.033387, -71.034754, -71.036989, -71.033923, 42.371932, 42.370043, 42.368434, 42.367734, 42.36831, 42.369287, 42.371932)))",3232,2048,602,25469,1584,170
1634,705,125,050600,34067,1906,41196,1048,918,16.3,16.3,48.163693599160545,"list(list(c(-71.036984, -71.035152, -71.034449, -71.034742, -71.033923, -71.036989, -71.037643, -71.038586, -71.03866, -71.040294, -71.039184, -71.03903, -71.039075, -71.039092, -71.03878, -71.03771, -71.038087, -71.037341, -71.036984, 42.373958, 42.373013, 42.372711, 42.372461, 42.371932, 42.369287, 42.369577, 42.36999, 42.370009, 42.370739, 42.37213, 42.372371, 42.374167, 42.374923, 42.374927, 42.374112, 42.373536, 42.374014, 42.373958)))",3268,1858,606,20989,1752,90
